Date,GLD,SPY,TLT,VNQ
2018-01-02,125.1500015258789,239.27398681640625,103.5917739868164,62.563907623291016
2018-01-03,124.81999969482422,240.78744506835938,104.08708190917969,62.38226318359375
2018-01-04,125.45999908447266,241.8022918701172,104.070556640625,61.30762481689453
2018-01-05,125.33000183105469,243.41371154785156,103.77339172363281,61.337913513183594
2018-01-08,125.30999755859375,243.85885620117188,103.70738983154297,61.65574264526367
2018-01-09,124.7300033569336,244.41082763671875,102.32051849365234,60.86112976074219
2018-01-10,125.02999877929688,244.036865234375,102.19670867919922,60.180015563964844
2018-01-11,125.44000244140625,245.8173828125,102.61770629882812,59.97568130493164
2018-01-12,126.95999908447266,247.41983032226562,102.79105377197266,59.4913444519043
2018-01-16,127.16999816894531,246.57412719726562,103.22035217285156,59.60486602783203
2018-01-17,126.13999938964844,248.92437744140625,103.07997131347656,60.02109146118164
2018-01-18,125.86000061035156,248.50596618652344,102.1224136352539,59.24916076660156
2018-01-19,126.41999816894531,249.6365966796875,101.58580780029297,59.5670280456543
2018-01-22,126.6500015258789,251.6664581298828,101.68486785888672,60.11191177368164
2018-01-23,127.27999877929688,252.2005615234375,102.1224136352539,60.94437789916992
2018-01-24,128.8300018310547,252.1025848388672,101.56930541992188,60.626529693603516
2018-01-25,127.97000122070312,252.20945739746094,102.403076171875,60.52058029174805
2018-01-26,128.07000732421875,255.1294403076172,102.02333068847656,60.30867004394531
2018-01-29,127.3499984741211,253.43792724609375,101.31343841552734,59.49891662597656
2018-01-30,126.80000305175781,250.8385009765625,100.7190170288086,59.06753921508789
2018-01-31,127.6500015258789,250.9630584716797,101.31343841552734,60.12702560424805
2018-02-01,128.07000732421875,250.6782684326172,99.84508514404297,58.83293151855469
2018-02-02,126.38999938964844,245.220947265625,98.91859436035156,58.333457946777344
2018-02-05,126.70999908447266,234.96510314941406,99.85337829589844,56.60040283203125
2018-02-06,125.37999725341797,239.59457397460938,99.23300170898438,56.60795593261719
2018-02-07,124.79000091552734,238.29476928710938,98.2899398803711,56.36580276489258
2018-02-08,124.9800033569336,229.3566131591797,98.1823959350586,54.746246337890625
2018-02-09,124.7699966430664,232.80186462402344,97.56197357177734,56.11605453491211
2018-02-12,125.37000274658203,236.2204132080078,97.99214172363281,56.13875198364258
